frequency_hz	dgtd_rcs	model_rcs	abs_error	rel_error	valid
3.095600000e+08	1.867740000e+00	1.850173993e+00	1.756600668e-02	9.404952874e-03	1
3.108900000e+08	1.772380000e+00	1.862823250e+00	9.044325013e-02	5.102926581e-02	1
3.122200000e+08	1.704200000e+00	1.891500658e+00	1.873006583e-01	1.099053270e-01	1
3.135500000e+08	1.670140000e+00	1.935366088e+00	2.652260884e-01	1.588047040e-01	1
3.148800000e+08	1.673320000e+00	1.993255169e+00	3.199351686e-01	1.911978394e-01	1
3.162100000e+08	1.713350000e+00	2.063708855e+00	3.503588552e-01	2.044876150e-01	1
3.175400000e+08	1.786900000e+00	2.145009308e+00	3.581093081e-01	2.004081415e-01	1
3.188700000e+08	1.888540000e+00	2.235221103e+00	3.466811031e-01	1.835709612e-01	1
3.202000000e+08	2.011620000e+00	2.332236698e+00	3.206166985e-01	1.593823379e-01	1
3.215300000e+08	2.148950000e+00	2.433825002e+00	2.848750015e-01	1.325647416e-01	1
3.228600000e+08	2.293410000e+00	2.537681846e+00	2.442718464e-01	1.065103258e-01	1
3.241900000e+08	2.438270000e+00	2.641481200e+00	2.032112002e-01	8.334236986e-02	1
3.255200000e+08	2.577430000e+00	2.742925947e+00	1.654959466e-01	6.420967655e-02	1
3.268500000e+08	2.705510000e+00	2.839797161e+00	1.342871609e-01	4.963469399e-02	1
3.281800000e+08	2.817870000e+00	2.930000870e+00	1.121308698e-01	3.979277604e-02	1
3.295100000e+08	2.910570000e+00	3.011611389e+00	1.010413886e-01	3.471532677e-02	1
3.308400000e+08	2.980360000e+00	3.082910432e+00	1.025504322e-01	3.440873994e-02	1
3.321700000e+08	3.024650000e+00	3.142421306e+00	1.177713062e-01	3.893716835e-02	1
3.335000000e+08	3.041610000e+00	3.188937599e+00	1.473275990e-01	4.843737330e-02	1
3.348300000e+08	3.030410000e+00	3.221545902e+00	1.911359018e-01	6.307262115e-02	1
3.361600000e+08	2.991480000e+00	3.239642201e+00	2.481622010e-01	8.295632966e-02	1
3.374900000e+08	2.927020000e+00	3.242941691e+00	3.159216911e-01	1.079328775e-01	1
3.388200000e+08	2.841320000e+00	3.231481872e+00	3.901618721e-01	1.373171174e-01	1
3.401500000e+08	2.741010000e+00	3.205618907e+00	4.646089067e-01	1.695028135e-01	1
3.414800000e+08	2.634830000e+00	3.166017328e+00	5.311873284e-01	2.016021255e-01	1
3.428100000e+08	2.533000000e+00	3.113633311e+00	5.806333114e-01	2.292275213e-01	1
